,Delhi,Mumbai,Bangalore,Hyderabad,Kolkata,Chennai,Port Blair,Pune,Ahmedabad,Jaipur,Lucknow,Surat,Kanpur,Nagpur,Visakhapatnam,Bhopal,Patna,Vadodara,Agra,Nashik,Vijayawada,Coimbatore,Indore,Thane,Ludhiana,Madurai,Bhubaneswar,Amritsar,Varanasi,Raipur,Aurangabad,Ranchi,Jodhpur,Guwahati,Chandigarh,Mysore,Gwalior,Noida,Faridabad,Ghaziabad,Meerut,Rajkot,Dhanbad,Jalandhar,Kota,Bareilly,Bikaner,Agartala,Jammu,Udaipur,Dehradun,Allahabad,Srinagar,Mangalore,Shillong,Gangtok
Delhi,0,1146.9354581094312,1732.2021456886332,1254.8473153291404,1308.1441565540094,1750.688588578534,2479.2523283228375,1169.184652314495,772.8828839095921,231.87358135184368,420.6559671227484,931.0953280065376,392.9590493621361,850.4502334716608,1362.7888326343823,595.255044026687,856.1503177566399,807.1377780214729,180.8425529308906,1014.0205142283984,1387.4382382674605,1951.4271996846708,667.3390279485097,1128.6895513896475,283.30200192079894,2072.629552808013,1276.3003089180581,400.00326484313683,684.4291285054109,934.1481760881044,835.4249069524756,1002.2895926249499,483.5537923191472,1466.4073853268942,236.51197698493712,1807.9225077540268,285.7028439696966,16.461131536577515,28.327056128058427,32.46763564773337,71.48486754344792,948.6599449597414,1068.4769499567806,333.49504323484626,404.3248733531315,219.33583233960752,384.01675829369356,1505.4606051516994,504.8073096907932,567.1391401995343,206.35564559360364,582.0295507990895,644.021984695273,1761.2884180872056,1496.3600760290851,1134.2477888157819
Mumbai,1146.9354581094312,0,842.1428529900302,621.7888435036485,1658.369839142202,1030.9936259755254,2282.362251962846,119.49391351436114,440.1932680780879,921.4309765308409,1193.909510192186,238.54730348397962,1121.2135099165782,689.7989731915411,1111.5636632037638,661.8768186199543,1455.0045725681646,360.5602481700864,1041.7627760026776,143.3493264472988,868.1850835804838,993.6989242796801,511.86229692806916,18.727906568816685,1347.0138237098872,1157.1980523242846,1366.3743043024213,1408.204369345234,1254.8562254376118,947.4854721558984,1350.769167129372,1377.897585490698,802.1388415238888,2092.7653625117705,1352.3227933758062,849.9305346330318,960.0114521875398,1147.3215882688264,1129.7441051880728,1173.255025129044,1208.765843359843,419.3191107422961,1499.8001873679586,1382.4764297357447,744.3012747937263,1235.673687203698,993.500967851937,1978.778498549595,1526.7392535133315,617.4329938299413,1353.281045905866,1162.7500811083405,1675.3996391972264,716.2853652623348,2085.113006712781,1851.425432639122
Bangalore,1732.2021456886332,842.1428529900302,0,492.3847967667465,1555.067474315282,287.3744395922413,1650.4617606350328,733.344557790711,1231.8510292766068,1553.2995677958509,1571.7563714834084,1042.72349693885,1517.9317398754433,916.4972976202608,800.8954841668041,1137.002097816219,1603.13035573275,1132.142107167775,1571.167206100251,878.1795333588999,505.7967939019264,231.18184236412634,1093.0519929334394,847.9977156182814,1992.798945147077,342.9362649552642,1189.4832347998763,2084.059509600574,1478.9823003726983,1007.6924163358585,1489.809439331064,1407.8481174006697,1549.417644016933,2077.610768168791,1966.9287324466009,129.4206858650367,1464.0732948426798,1725.5527711555833,1707.0260047458487,1748.0131759040812,1773.1382334941022,1259.1801745989999,1514.4872112754877,2037.8858754020857,1361.5622902272885,1722.766759284512,1722.8745593553108,1874.6221198729552,2203.200732884267,1348.141921850202,1920.2924748692642,1447.220249411825,2352.7055730357515,301.9113301737932,2043.2433743556467,1957.171754657367
Hyderabad,1254.8473153291404,621.7888435036485,492.3847967667465,0,1184.5432174776936,511.05511750789435,1660.8405470299476,505.95612764266417,878.5212080070655,1092.8074986975064,1079.6521545787198,730.1044275492341,1025.5563369641677,424.28976926538115,512.9112116643475,662.4686559782716,1143.5742178035302,777.3774033950751,1087.8843643204434,574.5711111833248,246.75555458254112,722.1907518688763,652.931064969857,616.2956588055118,1523.9886383023895,823.4514197505667,839.9666461857936,1622.340295856175,1000.1661531707224,542.6355664502781,1029.0047144740097,976.4740666890638,1137.6807065590465,1683.3423414954293,1491.127691356882,592.6069086680882,979.7371650126063,1246.998603319054,1228.6921211556685,1268.3701395909463,1291.2755119313,971.993531734447,1092.9603913637432,1570.875285595373,906.6130509086772,1232.6962291073567,1293.0288298808287,1514.0823768206858,1739.6349598355114,941.3213237898367,1436.6546064001448,959.6737524284634,1887.2587272450717,631.7916448554173,1659.1184300863845,1518.1035413215877
Kolkata,1308.1441565540094,1658.369839142202,1555.067474315282,1184.5432174776936,0,1355.3008742024228,1293.5816888790328,1577.2213434898365,1620.589766290026,1356.2561157303094,887.5949887720733,1611.450303520396,921.4752404467613,972.0624702575917,756.7794919098018,1126.8316912605158,470.7845377411812,1561.2546496440843,1163.271441762279,1537.9143471453785,1053.7431235774566,1763.5852927328651,1284.1267858604465,1643.897361449389,1548.0580551754078,1775.6415944588605,366.11450523805416,1669.8202466084333,625.1152582492779,710.8843685067501,472.8050005285757,323.87880784111644,1607.0455054280728,527.1861048687697,1463.836301093987,1683.0508033647232,1110.2862211684144,1291.7704447253811,1284.475696057686,1291.53352177896,1278.325626956966,1806.9593025536415,239.78159569257875,1594.2223565358163,1305.395611954713,1111.1815918837378,1629.2730912300556,329.6656012866312,1740.7302336109371,1513.9438203254533,1339.3610565850452,736.177624665284,1837.3874213903955,1789.6336827082375,488.5096797593957,527.4748262905058
Chennai,1750.688588578534,1030.9936259755254,287.3744395922413,511.05511750789435,1355.3008742024228,0,1364.8866848829332,913.2725827504466,1367.663560341145,1600.1090139655269,1524.2981844109117,1197.3935192576064,1480.9397549999683,901.5851880125163,604.460116280641,1166.2248387666248,1476.8985459573087,1265.6054774662834,1577.755450518785,1032.159198303673,381.10239302022666,427.4454217787323,1163.8418882400942,1032.539286025518,2025.3452217560716,421.0887838831353,991.5069311225761,2127.245912179651,1386.323611692445,914.0286434391602,1368.319212039733,1257.420629365168,1646.6549888447896,1882.4698989255282,1987.064340246863,401.95621080875196,1469.140888986884,1741.6238605620094,1723.6940786880282,1761.5842977454613,1781.4143000736815,1430.8663208192781,1351.9019364691205,2073.1738005620696,1416.179689453744,1704.6180349122894,1804.0477766446295,1662.0906635353158,2243.2953349083705,1448.5716354841138,1922.92998985568,1377.409775332991,2389.460699897894,589.2845611686572,1841.954495803483,1800.480720725953
Port Blair,2479.2523283228375,2282.362251962846,1650.4617606350328,1660.8405470299476,1293.5816888790328,1364.8866848829332,0,2165.3318894407257,2479.3943554855923,2446.4367220651243,2085.35844602228,2370.4644762530706,2092.1999842932996,1795.2535397857307,1216.1646264809585,2070.6181987968002,1738.9651174844728,2386.974685160584,2306.4709500129766,2227.4052328724215,1414.2108831324942,1723.5148034319363,2168.6605704042154,2277.1299601276346,2750.748535893671,1610.7155659008456,1203.7656188027704,2872.9133704651117,1827.320267677774,1588.855646841257,1698.8687418928619,1515.0526598772472,2625.352495325954,1610.1910014993089,2676.731744275961,1752.826589985571,2220.558573535744,2464.182399438838,2451.9280193804034,2471.8125500918004,2469.9151950229016,2611.1772270294887,1499.3691974476515,2800.3003304035933,2322.748607524317,2319.881989281036,2715.1975118454275,1355.411238334302,2962.2004074752017,2466.304160870678,2563.665292678451,1908.125325724036,3077.4541882057647,1951.1449469485444,1542.5248040181866,1786.95578358438
Pune,1169.184652314495,119.49391351436114,733.344557790711,505.95612764266417,1577.2213434898365,913.2725827504466,2165.3318894407257,0,515.591196654522,951.1706777316474,1173.067541547958,316.2712457169428,1102.1606024011564,620.0401091416007,1002.9572258746009,641.2437182584574,1402.0304249911035,423.6726158278695,1048.7153723790343,165.0603731148588,751.5921169162852,896.7001736096099,510.0377213699495,119.30312534474199,1386.9020341314074,1056.073027966054,1273.2581632339848,1456.4080527088872,1209.029418434707,868.2583901815309,1294.4075505062779,1307.5426199951246,865.1383309561977,2026.602238437766,1384.5811605332342,750.6056222709504,958.9956883272774,1167.89074264253,1149.7700649593692,1193.4517648667327,1227.1340256687959,526.1994413529294,1429.8512264204253,1425.1637348598276,765.1045994401348,1237.4607866726838,1052.949012458984,1901.1731933260926,1576.0452226358316,670.9259286915507,1374.4248499153853,1124.4207951685107,1725.9318901542947,634.2859959347522,2015.657796366162,1798.3973641108942
Ahmedabad,772.8828839095921,440.1932680780879,1231.8510292766068,878.5212080070655,1620.589766290026,1367.663560341145,2479.3943554855923,515.591196654522,0,541.2439191223673,943.5000000218469,202.324305187726,870.6374145967392,702.1948487746619,1263.7696881326551,494.5190262020573,1304.4630711468676,102.06304149826515,715.1439608106281,356.10737757987715,1107.8986424666602,1409.3750073804304,339.0651637028312,425.6766694455636,932.2109925632977,1564.4622177634405,1405.6530848563448,981.1747380807574,1089.7644022203958,954.5037964400655,1220.2679707763255,1304.9044580791985,365.703078318647,1971.1303780632427,950.6923027854704,1262.1566368478693,665.6164774548853,777.3457862595897,761.9300910913345,803.0577755043334,841.5729810174406,199.12758748137725,1417.750510823058,962.9686487834895,409.6767308248289,911.5787781258272,558.2179891649445,1912.0603870913612,1097.679129041234,206.03801102719453,974.6580077688567,977.0015541424652,1244.380158428221,1148.818217303969,1977.9952425975353,1683.5908941564703
Jaipur,231.87358135184368,921.4309765308409,1553.2995677958509,1092.8074986975064,1356.2561157303094,1600.1090139655269,2446.4367220651243,951.1706777316474,541.2439191223673,0,508.3400709598076,701.1353970709936,450.94454644302164,719.6104899772714,1278.1833520991074,435.42174609092615,940.4354686872388,576.4205034359087,219.2585806170064,792.194915240461,1253.982883216008,1765.6749932796736,464.71952946429536,903.4380760459132,442.63568059407635,1895.996784786567,1259.8310260947824,531.1010072657513,739.8156510909324,862.8769705584633,892.2299843438948,1035.4470750984988,285.60616692437384,1588.93672580222,433.41691470813265,1619.778075163718,245.9706628687153,236.11860117441975,220.98683929254034,261.81452701073954,300.3830873857267,720.0970669499908,1122.2329552466279,485.72658402866347,193.00523535415203,392.8370210137987,275.71161405997026,1592.184970060102,649.9329449650867,335.84314367721066,436.05477418369355,623.0846831539545,799.4425695721776,1558.2865415298527,1610.6378661907136,1268.6934279130892
